+-----------+------+--------+---------+---------------------------------------------------------------------------------------------------------+
, series id , year , period ,  value  ,                                                footnotes                                                ,
+-----------+------+--------+---------+---------------------------------------------------------------------------------------------------------+
,   WPUFD4  , 2023 ,  M01   , 141.093 , Preliminary. All indexes are subject to monthly revisions up to four months after original publication. ,
,   WPUFD4  , 2022 ,  M12   , 139.843 , Preliminary. All indexes are subject to monthly revisions up to four months after original publication. ,
,   WPUFD4  , 2022 ,  M11   , 140.708 , Preliminary. All indexes are subject to monthly revisions up to four months after original publication. ,
,   WPUFD4  , 2022 ,  M10   , 140.733 , Preliminary. All indexes are subject to monthly revisions up to four months after original publication. ,
,   WPUFD4  , 2022 ,  M09   , 140.066 ,                                                                                                         ,
,   WPUFD4  , 2022 ,  M08   , 139.965 ,                                                                                                         ,
,   WPUFD4  , 2022 ,  M07   , 140.284 ,                                                                                                         ,
,   WPUFD4  , 2022 ,  M06   , 140.819 ,                                                                                                         ,
,   WPUFD4  , 2022 ,  M05   , 139.419 ,                                                                                                         ,
,   WPUFD4  , 2022 ,  M04   , 138.179 ,                                                                                                         ,
,   WPUFD4  , 2022 ,  M03   , 137.341 ,                                                                                                         ,
,   WPUFD4  , 2022 ,  M02   , 134.581 ,                                                                                                         ,
,   WPUFD4  , 2022 ,  M01   , 133.074 ,                                                                                                         ,
,   WPUFD4  , 2021 ,  M12   , 131.344 ,                                                                                                         ,
,   WPUFD4  , 2021 ,  M11   , 131.090 ,                                                                                                         ,
,   WPUFD4  , 2021 ,  M10   , 130.097 ,                                                                                                         ,
,   WPUFD4  , 2021 ,  M09   , 129.116 ,                                                                                                         ,
,   WPUFD4  , 2021 ,  M08   , 128.755 ,                                                                                                         ,
,   WPUFD4  , 2021 ,  M07   , 127.824 ,                                                                                                         ,
,   WPUFD4  , 2021 ,  M06   ,  126.6  ,                                                                                                         ,
,   WPUFD4  , 2021 ,  M05   ,  125.5  ,                                                                                                         ,
,   WPUFD4  , 2021 ,  M04   ,  124.3  ,                                                                                                         ,
,   WPUFD4  , 2021 ,  M03   ,  123.0  ,                                                                                                         ,
,   WPUFD4  , 2021 ,  M02   ,  121.9  ,                                                                                                         ,
,   WPUFD4  , 2021 ,  M01   ,  120.9  ,                                                                                                         ,
,   WPUFD4  , 2020 ,  M12   ,  119.4  ,                                                                                                         ,
,   WPUFD4  , 2020 ,  M11   ,  119.3  ,                                                                                                         ,
,   WPUFD4  , 2020 ,  M10   ,  119.5  ,                                                                                                         ,
,   WPUFD4  , 2020 ,  M09   ,  118.7  ,                                                                                                         ,
,   WPUFD4  , 2020 ,  M08   ,  118.5  ,                                                                                                         ,
,   WPUFD4  , 2020 ,  M07   ,  118.4  ,                                                                                                         ,
,   WPUFD4  , 2020 ,  M06   ,  117.7  ,                                                                                                         ,
,   WPUFD4  , 2020 ,  M05   ,  117.3  ,                                                                                                         ,
,   WPUFD4  , 2020 ,  M04   ,  116.7  ,                                                                                                         ,
,   WPUFD4  , 2020 ,  M03   ,  118.1  ,                                                                                                         ,
,   WPUFD4  , 2020 ,  M02   ,  118.4  ,                                                                                                         ,
,   WPUFD4  , 2020 ,  M01   ,  119.0  ,                                                                                                         ,
,   WPUFD4  , 2019 ,  M12   ,  118.4  ,                                                                                                         ,
,   WPUFD4  , 2019 ,  M11   ,  118.3  ,                                                                                                         ,
,   WPUFD4  , 2019 ,  M10   ,  118.8  ,                                                                                                         ,
,   WPUFD4  , 2019 ,  M09   ,  118.3  ,                                                                                                         ,
,   WPUFD4  , 2019 ,  M08   ,  118.8  ,                                                                                                         ,
,   WPUFD4  , 2019 ,  M07   ,  118.7  ,                                                                                                         ,
,   WPUFD4  , 2019 ,  M06   ,  118.5  ,                                                                                                         ,
,   WPUFD4  , 2019 ,  M05   ,  118.6  ,                                                                                                         ,
,   WPUFD4  , 2019 ,  M04   ,  118.5  ,                                                                                                         ,
