+-----------+------+--------+---------+---------------------------------------------------------------------------------------------------------+
, series id , year , period ,  value  ,                                                footnotes                                                ,
+-----------+------+--------+---------+---------------------------------------------------------------------------------------------------------+
,  WPUID63  , 2022 ,  M09   , 141.039 , Preliminary. All indexes are subject to monthly revisions up to four months after original publication. ,
,  WPUID63  , 2022 ,  M08   , 140.882 , Preliminary. All indexes are subject to monthly revisions up to four months after original publication. ,
,  WPUID63  , 2022 ,  M07   , 139.767 , Preliminary. All indexes are subject to monthly revisions up to four months after original publication. ,
,  WPUID63  , 2022 ,  M06   , 139.484 , Preliminary. All indexes are subject to monthly revisions up to four months after original publication. ,
,  WPUID63  , 2022 ,  M05   , 139.889 ,                                                                                                         ,
,  WPUID63  , 2022 ,  M04   , 139.335 ,                                                                                                         ,
,  WPUID63  , 2022 ,  M03   , 138.107 ,                                                                                                         ,
,  WPUID63  , 2022 ,  M02   , 136.307 ,                                                                                                         ,
,  WPUID63  , 2022 ,  M01   , 135.898 ,                                                                                                         ,
,  WPUID63  , 2021 ,  M12   , 134.477 ,                                                                                                         ,
,  WPUID63  , 2021 ,  M11   , 133.581 ,                                                                                                         ,
,  WPUID63  , 2021 ,  M10   , 132.798 ,                                                                                                         ,
,  WPUID63  , 2021 ,  M09   , 132.852 ,                                                                                                         ,
,  WPUID63  , 2021 ,  M08   , 132.618 ,                                                                                                         ,
,  WPUID63  , 2021 ,  M07   , 132.037 ,                                                                                                         ,
,  WPUID63  , 2021 ,  M06   ,  131.3  ,                                                                                                         ,
,  WPUID63  , 2021 ,  M05   ,  129.7  ,                                                                                                         ,
,  WPUID63  , 2021 ,  M04   ,  129.0  ,                                                                                                         ,
,  WPUID63  , 2021 ,  M03   ,  127.4  ,                                                                                                         ,
,  WPUID63  , 2021 ,  M02   ,  126.5  ,                                                                                                         ,
,  WPUID63  , 2021 ,  M01   ,  126.0  ,                                                                                                         ,
,  WPUID63  , 2020 ,  M12   ,  124.2  ,                                                                                                         ,
,  WPUID63  , 2020 ,  M11   ,  123.6  ,                                                                                                         ,
,  WPUID63  , 2020 ,  M10   ,  123.6  ,                                                                                                         ,
,  WPUID63  , 2020 ,  M09   ,  122.8  ,                                                                                                         ,
,  WPUID63  , 2020 ,  M08   ,  121.7  ,                                                                                                         ,
,  WPUID63  , 2020 ,  M07   ,  120.6  ,                                                                                                         ,
,  WPUID63  , 2020 ,  M06   ,  120.1  ,                                                                                                         ,
,  WPUID63  , 2020 ,  M05   ,  119.7  ,                                                                                                         ,
,  WPUID63  , 2020 ,  M04   ,  120.2  ,                                                                                                         ,
,  WPUID63  , 2020 ,  M03   ,  122.2  ,                                                                                                         ,
,  WPUID63  , 2020 ,  M02   ,  122.1  ,                                                                                                         ,
,  WPUID63  , 2020 ,  M01   ,  122.3  ,                                                                                                         ,
,  WPUID63  , 2019 ,  M12   ,  121.7  ,                                                                                                         ,
,  WPUID63  , 2019 ,  M11   ,  121.4  ,                                                                                                         ,
,  WPUID63  , 2019 ,  M10   ,  121.5  ,                                                                                                         ,
,  WPUID63  , 2019 ,  M09   ,  122.1  ,                                                                                                         ,
